proteinID,domainID,domainDescription,domainStart,domainEnd
A0A1E1J2I6,PF04565,RNA polymerase Rpb2 domain 3,480,542
A0A1E1J3R8,mobidb-lite,disorder_prediction,60,79
A0A1E1JUG3,mobidb-lite,disorder_prediction,522,574
A0A1E1JY73,mobidb-lite,disorder_prediction,13,32
A0A1E1JZK6,mobidb-lite,disorder_prediction,551,724
A0A1E1K261,mobidb-lite,disorder_prediction,1,77
A0A1E1KBP6,PF04419,Uncharacterised protein family SERF,1,31
A0A1E1KM63,PF00076,RNA recognition motif domain,602,676
A0A1E1L1V6,mobidb-lite,disorder_prediction,514,533
A0A1E1L7U3,PF00069,Protein kinase domain,136,423
A0A1E1LBD5,PF00271,Helicase C-terminal,858,981
A0A1E1LCY2,mobidb-lite,disorder_prediction,464,622
A0A1E1LHF2,mobidb-lite,disorder_prediction,1362,1458
A0A1E1LKQ4,PF00175,Oxidoreductase FAD/NAD(P)-binding,550,659
A0A1E1M0F7,PF12859,Anaphase-promoting complex subunit 1,114,245
A0A1E1M8N9,PF13364,Beta-galactosidase jelly roll domain,690,801
A0A1E1MG07,PF07717,Domain of unknown function DUF1605,764,870
A0A1E1MHL7,mobidb-lite,disorder_prediction,30,51
A0A1E1MJP5,PF00491,Ureohydrolase,18,322
A0A1E1MMM7,mobidb-lite,disorder_prediction,1,36
A0A1E1MW07,PF00230,Major intrinsic protein,52,175
A0A1E1WEQ7,mobidb-lite,disorder_prediction,43,71
A0A1E1WX12,PF10269,Transmembrane Fragile-X-F-associated protein,2,90
A0A1E1X300,PF07525,SOCS box domain,282,317
A0A1E1X672,PF01501,Glycosyl transferase family 8,153,287
A0A1E1X9A8,PF01266,FAD dependent oxidoreductase,79,460
A0A1E1X9S9,mobidb-lite,disorder_prediction,1508,1549
A0A1E1XEW3,mobidb-lite,disorder_prediction,623,684
A0A1E1XG54,PF00632,HECT domain,726,1033
A0A1E1XHC5,mobidb-lite,disorder_prediction,767,787
A0A1E1XJ39,PF00412,Zinc finger LIM-type,166,201
A0A1E1XKA4,PF00650,CRAL-TRIO lipid binding domain,314,480
A0A1E1XNJ2,PF00629,MAM domain,349,506
A0A1E1XNR1,PF00023,Ankyrin repeat,181,210
A0A1E2XUU0,PF00717,Peptidase S24/S26A/S26B/S26C,41,101
A0A1E2Y3L1,mobidb-lite,disorder_prediction,1,39
A0A1E2Y6B9,mobidb-lite,disorder_prediction,1,165
A0A1E2YBY5,PF04082,Transcription factor domain fungi,410,513
A0A1E2YC84,PF16187,Peptidase M16 middle/third domain,527,815
A0A1E2YDG1,PF04791,LMBR1-like membrane protein,11,437
A0A1E2YDR7,mobidb-lite,disorder_prediction,402,422
A0A1E3BDA2,PF05001,RNA polymerase II heptapeptide repeat eukaryotic,1601,1612
A0A1E3BE05,mobidb-lite,disorder_prediction,361,386
A0A1E3BFD8,CoiledCoil,Uncharacterized protein OS=Aspergillus cristatus GN=SI65_04593 PE=4 SV=1,871,892
A0A1E3BJW4,mobidb-lite,disorder_prediction,32,59
A0A1E3BUE4,PF16503,Cytoplasmic tRNA 2-thiolation protein 1 C-terminal,360,390
A0A1E5RJG5,PF14510,ABC-transporter extracellular N-terminal domain,75,142
A0A1E5RT09,PF00493,MCM domain,485,803
A0A1E5RU73,PF00069,Protein kinase domain,97,417
A0A1E5RVT9,PF00117,Glutamine amidotransferase,108,208
A0A1E5RW01,PF02138,BEACH domain,1380,1659
A0A1E5RZG6,PF01504,Phosphatidylinositol-4-phosphate 5-kinase core,2105,2272
A0A1E5RZP7,PF00614,Phospholipase D/Transphosphatidylase,723,750
A0A1E5UIP7,PF03634,Transcription factor TCP,111,252
A0A1E5UJG2,PF12819,Malectin-like carbohydrate-binding domain,36,374
A0A1E5UKY6,mobidb-lite,disorder_prediction,1,41
A0A1E5UPU9,PF02701,Zinc finger Dof-type,38,95
A0A1E5UQM9,PF00271,Helicase C-terminal,414,520
A0A1E5UUI3,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase,57,322
A0A1E5UVU1,PF03987,Autophagy-related protein 3,109,175
A0A1E5VER1,mobidb-lite,disorder_prediction,511,530
A0A1E5VN17,PF00069,Protein kinase domain,83,292
A0A1E5VNK9,PF09366,Protein of unknown function DUF1997,99,265
A0A1E5VPP0,mobidb-lite,disorder_prediction,1442,1476
A0A1E5VWC1,mobidb-lite,disorder_prediction,388,456
A0A1E5VX55,PF13855,Leucine-rich repeat,555,612
A0A1E5VY14,PF13967,Calcium permeable stress-gated cation channel 1 N-terminal transmembrane domain,7,175
A0A1E5W8Y3,PF00069,Protein kinase domain,292,456
A0A1E5WED9,PF00806,Pumilio RNA-binding repeat,719,751
A0A1F5L2L0,PF02515,CoA-transferase family III,240,432
A0A1F5L415,PF00331,Glycoside hydrolase family 10 domain,78,373
A0A1F5L4C5,PF07690,Major facilitator superfamily,50,452
A0A1F5L4V2,PF00248,NADP-dependent oxidoreductase domain,18,279
A0A1F5L9Q4,PF01070,FMN-dependent dehydrogenase,108,271
A0A1F5LJN6,mobidb-lite,disorder_prediction,69,99
A0A1F7ZLG9,mobidb-lite,disorder_prediction,786,817
A0A1F7ZMI9,mobidb-lite,disorder_prediction,114,147
A0A1F7ZPL0,mobidb-lite,disorder_prediction,533,557
A0A1F7ZRY6,PF00400,WD40 repeat,192,225
A0A1F7ZSM0,PF15044,Clustered mitochondria protein N-terminal,58,130
A0A1F7ZUG8,mobidb-lite,disorder_prediction,232,269
A0A1F7ZYH0,mobidb-lite,disorder_prediction,1,24
A0A1F8ABC5,PF00999,Cation/H+ exchanger,19,460
A0A1F8AD43,mobidb-lite,disorder_prediction,1,25
A0A1F8ADX5,PF00107,Alcohol dehydrogenase C-terminal,179,295
A0A1G4AP89,PF00884,Sulfatase N-terminal,4,288
A0A1G4AX60,mobidb-lite,disorder_prediction,190,244
A0A1G4B013,PF00330,Aconitase/3-isopropylmalate dehydratase large subunit alpha/beta/alpha domain,13,472
A0A1G4BKC4,mobidb-lite,disorder_prediction,1,45
A0A1G4BKW3,mobidb-lite,disorder_prediction,78,112
A0A1G4E8F0,PF05795,Plasmodium vivax Vir,218,323
A0A1G4H5Q6,PF00225,Kinesin motor domain,515,566
A0A1G4HAR3,mobidb-lite,disorder_prediction,385,469
A0A1G4HHT1,mobidb-lite,disorder_prediction,1499,1529
A0A1G4I117,PF05783,Dynein family light intermediate chain,210,328
A0A1G4I6R4,mobidb-lite,disorder_prediction,1,28
A0A1G4IAP0,PF00098,Zinc finger CCHC-type,122,137
A0A1G4IDB0,mobidb-lite,disorder_prediction,125,189
A0A1G4IIZ7,PF00612,IQ motif EF-hand binding site,1657,1675
A0A1G4IJ87,mobidb-lite,disorder_prediction,613,639
A0A1G4IWW5,mobidb-lite,disorder_prediction,547,589
A0A1G4JQ98,PF14691,Dihydroprymidine dehydrogenase domain II,1676,1786
A0A1G4M9K9,PF00117,Glutamine amidotransferase,6,208
A0A1G4MB30,PF06650,Vacuolar protein sorting-associated protein 13 SHR-binding domain,2185,2466
A0A1G4MFB1,mobidb-lite,disorder_prediction,1,33
A0A1G4NW93,PF00006,ATPase F1/V1/A1 complex alpha/beta subunit nucleotide-binding domain,134,354
A0A1H6PI51,PF00076,RNA recognition motif domain,607,681
A0A1H6PTA7,mobidb-lite,disorder_prediction,788,924
A0A1H6Q2J1,PF02463,RecF/RecN/SMC N-terminal,72,1063
A0A1H6QA03,PF01624,DNA mismatch repair protein MutS-like N-terminal,32,120
A0A1I7RL95,mobidb-lite,disorder_prediction,675,704
A0A1I7RPJ1,PF10256,Golgin subfamily A member 7/ERF4,14,126
A0A1I7RQW3,CoiledCoil,Uncharacterized protein OS=Bursaphelenchus xylophilus PE=4 SV=1,366,405
A0A1I7RWB6,PF00501,AMP-dependent synthetase/ligase,14,282
A0A1I7SCB1,PF00201,UDP-glucuronosyl/UDP-glucosyltransferase,539,1006
A0A1I7SHJ5,PF05127,Helicase domain,280,477
A0A1I7SLR7,mobidb-lite,disorder_prediction,456,478
A0A1I7SLV0,PF13414,Tetratricopeptide-like helical domain,11,48
A0A1I7SQU3,mobidb-lite,disorder_prediction,443,480
A0A1I7SX67,PF00337,Galectin carbohydrate recognition domain,42,171
A0A1I7SZJ2,PF00170,Basic-leucine zipper domain,62,123
A0A1I7T0R8,mobidb-lite,disorder_prediction,516,654
A0A1I7T137,PF00642,Zinc finger CCCH-type,144,168
A0A1I7TSN5,PF00441,Acyl-CoA dehydrogenase/oxidase C-terminal,256,402
A0A1I7TVI1,PF04042,DNA polymerase alpha/epsilon subunit B,19,130
A0A1I7U7H0,PF01549,ShKT domain,352,387
A0A1I7V0S0,PF00013,K Homology domain type 1,129,176
A0A1I7V4R0,PF01681,C6 domain,2598,2684
A0A1I7V5X4,PF13855,Leucine-rich repeat,12,71
A0A1I7V8P4,PF15348,Gemini of Cajal bodies-associated protein 8,71,208
A0A1I7VBD8,PF00013,K Homology domain type 1,104,166
A0A1I7VDX8,PF01434,Peptidase M41,530,726
A0A1I7VFU1,PF03178,Cleavage/polyadenylation specificity factor A subunit C-terminal,787,1097
A0A1I7VP51,mobidb-lite,disorder_prediction,638,686
A0A1I7VRC2,PF13181,Tetratricopeptide repeat,208,240
A0A1I7X418,PF01130,CD36 family,4,158
A0A1I7X7J0,PF01762,Glycosyl transferase family 31,68,206
A0A1I7XGJ7,PF04212,MIT,13,86
A0A1I7XJY0,PF00028,Cadherin,1538,1610
A0A1I7XV17,PF00630,Filamin/ABP280 repeat-like,152,240
A0A1I7XVP4,PF03083,SWEET sugar transporter,104,188
A0A1I7YDK0,PF01245,Ribosomal protein L19,125,182
A0A1I7Z261,mobidb-lite,disorder_prediction,86,120
A0A1I7Z525,PF00089,Serine proteases trypsin domain,6,93
A0A1I7Z7J7,PF11987,Translation initiation factor IF- 2 domain 3,2,38
A0A1I7ZLW0,mobidb-lite,disorder_prediction,1,58
A0A1I7ZS91,PF10320,Serpentine type 7TM GPCR chemoreceptor Srsx,28,294
A0A1I7ZTT7,mobidb-lite,disorder_prediction,126,158
A0A1I7ZXB8,LowComplexity,Uncharacterized protein OS=Steinernema glaseri PE=4 SV=1,8,20
A0A1I8AIF2,PF01740,STAS domain,28,122
A0A1I8AVU6,PF10321,7TM GPCR serpentine receptor class t (Srt),35,341
A0A1I8B426,PF05172,RNA-recognition motif (RRM) Nup35-type domain,730,800
A0A1I8B7L9,mobidb-lite,disorder_prediction,111,138
A0A1I8BEX7,mobidb-lite,disorder_prediction,1,50
A0A1I8BGC2,PF00782,Dual specificity phosphatase catalytic domain,196,285
A0A1I8BGJ2,PF01266,FAD dependent oxidoreductase,253,287
A0A1I8BVU6,PF04109,Autophagy-related protein 9,216,572
A0A1I8BWN2,PF00571,CBS domain,483,543
A0A1I8BWW2,LowComplexity,Uncharacterized protein OS=Meloidogyne hapla PE=3 SV=1,473,485
A0A1I8CFE4,PF01746,tRNA methyltransferase TRMD/TRM10-type domain,2,140
A0A1I8CGX6,PF13426,PAS domain,93,162
A0A1I8CJ95,PF03919,mRNA capping enzyme C-terminal,493,585
A0A1I8CRP3,PF03314,Protein of unknown function DUF273,33,271
A0A1I8EDB1,PF00397,WW domain,156,185
A0A1I8EDF6,mobidb-lite,disorder_prediction,1,40
A0A1I8EKC0,mobidb-lite,disorder_prediction,412,489
A0A1I8EPN8,PF00400,WD40 repeat,22,49
A0A1I8EPR2,PF12490,Breast carcinoma amplified sequence 3,617,756
A0A1I8EU60,PF07679,Immunoglobulin I-set,439,517
A0A1I8EUU9,PF01234,Methyltransferase NNMT/PNMT/TEMT,135,242
A0A1I8EZL7,PF00782,Dual specificity phosphatase catalytic domain,346,474
A0A1I8F3J1,PF13855,Leucine-rich repeat,83,141
A0A1I8F4A4,PF00595,PDZ domain,140,217
A0A1I8F588,PF00282,Pyridoxal phosphate-dependent decarboxylase,3,73
A0A1I8FCY6,mobidb-lite,disorder_prediction,62,116
A0A1I8FN46,PF14676,FANCI solenoid 2 domain,270,415
A0A1I8FZC9,PF00225,Kinesin motor domain,43,125
A0A1I8GB09,PF10354,Domain of unknown function DUF2431,52,141
A0A1I8GUK2,PF14429,DHR-1 domain,391,578
A0A1I8GXT7,mobidb-lite,disorder_prediction,567,601
A0A1I8H2D6,mobidb-lite,disorder_prediction,191,225
A0A1I8H350,PF04587,ADP-specific phosphofructokinase/glucokinase,70,448
A0A1I8H8F3,PF07885,Potassium channel domain,232,320
A0A1I8H938,PF00010,Myc-type basic helix-loop-helix (bHLH) domain,695,746
A0A1I8H968,PF13598,Conserved hypothetical protein CHP02231,16,236
A0A1I8HDZ5,PF01413,Collagen IV non-collagenous,1187,1292
A0A1I8HJK5,PF00002,GPCR family 2 secretin-like,562,754
A0A1I8HJS5,PF12796,Ankyrin repeat-containing domain,38,101
A0A1I8HKU4,PF12796,Ankyrin repeat-containing domain,109,203
A0A1I8HMU7,LowComplexity,Uncharacterized protein OS=Macrostomum lignano PE=3 SV=1,1724,1739
A0A1I8HNP8,PF00069,Protein kinase domain,226,326
A0A1I8HPC5,PF14370,Topoisomerase I C-terminal domain,655,724
A0A1I8HPL4,mobidb-lite,disorder_prediction,1,36
A0A1I8HU41,PF00176,SNF2-related N-terminal domain,327,458
A0A1I8HVT0,PF01530,Zinc finger C2HC-type,341,369
A0A1I8HYA0,LowComplexity,Uncharacterized protein OS=Macrostomum lignano PE=3 SV=1,184,197
A0A1I8I0V2,PF07859,Alpha/beta hydrolase fold-3,825,889
A0A1I8I292,PF07679,Immunoglobulin I-set,62,152
A0A1I8IGP8,PF13833,EF-hand domain,441,498
A0A1I8J049,PF16064,Domain of unknown function DUF4806,289,366
A0A1I8J1G2,mobidb-lite,disorder_prediction,2784,2803
A0A1I8J6K7,mobidb-lite,disorder_prediction,160,335
A0A1I8J6Z6,PF01822,Carbohydrate-binding WSC,30,115
A0A1I8JET4,mobidb-lite,disorder_prediction,3163,3189
A0A1I8JHN3,mobidb-lite,disorder_prediction,1264,1351
A0A1I8M131,mobidb-lite,disorder_prediction,352,380
A0A1I8M4U7,PF00287,Sodium/potassium-transporting ATPase subunit beta,18,281
A0A1I8M6Q6,PF05000,RNA polymerase Rpb1 domain 4,843,930
A0A1I8M6W5,CoiledCoil,Uncharacterized protein OS=Musca domestica GN=101889374 PE=4 SV=1,1052,1073
A0A1I8MEK2,PF00076,RNA recognition motif domain,305,367
A0A1I8MGI9,PF00060,Ionotropic glutamate receptor,374,656
A0A1I8MGV1,mobidb-lite,disorder_prediction,1339,1358
A0A1I8MJ33,PF01590,GAF domain,532,677
A0A1I8MJG0,PF00400,WD40 repeat,1,30
A0A1I8MKG3,PF04699,Actin-related protein 2/3 complex subunit 5,9,148
A0A1I8MLH8,mobidb-lite,disorder_prediction,1036,1055
A0A1I8MMM4,PF00094,von Willebrand factor type D domain,2722,2877
A0A1I8MPR7,PF01436,NHL repeat,297,323
A0A1I8MRY5,PF00028,Cadherin,1050,1146
A0A1I8MTK9,mobidb-lite,disorder_prediction,889,936
A0A1I8MVF8,PF03351,DOMON domain,249,371
A0A1I8MWH3,mobidb-lite,disorder_prediction,646,789
A0A1I8MYN5,mobidb-lite,disorder_prediction,40,128
A0A1I8MZG5,LowComplexity,Uncharacterized protein OS=Musca domestica GN=101897960 PE=3 SV=1,250,262
A0A1I8N6N4,mobidb-lite,disorder_prediction,2496,2521
A0A1I8N7I2,PF00001,G protein-coupled receptor rhodopsin-like,66,322
A0A1I8NBT8,mobidb-lite,disorder_prediction,460,482
A0A1I8ND78,PF00400,WD40 repeat,326,359
A0A1I8NLG5,mobidb-lite,disorder_prediction,983,1010
A0A1I8NNX5,mobidb-lite,disorder_prediction,129,405
A0A1I8NPB5,mobidb-lite,disorder_prediction,976,1074
A0A1I8NPT6,PF02958,Protein of unknown function DUF227,363,647
A0A1I8NRE5,PF01344,Kelch repeat type 1,517,557
A0A1I8NRY1,mobidb-lite,disorder_prediction,2253,2273
A0A1I8NYV5,mobidb-lite,disorder_prediction,886,918
A0A1I8NZ53,mobidb-lite,disorder_prediction,15014,15136
A0A1I8P013,PF00682,Pyruvate carboxyltransferase,584,855
A0A1I8P3X6,PF00180,Isopropylmalate dehydrogenase-like domain,11,391
A0A1I8P478,PF08711,Transcription factor IIS N-terminal,29,77
A0A1I8P511,PF00769,Ezrin/radixin/moesin C-terminal,400,643
A0A1I8P566,mobidb-lite,disorder_prediction,1,91
A0A1I8P7S2,mobidb-lite,disorder_prediction,400,420
A0A1I8PG49,PF00412,Zinc finger LIM-type,744,791
A0A1I8PIB0,PF00067,Cytochrome P450,545,1009
A0A1I8PLH5,mobidb-lite,disorder_prediction,817,907
A0A1I8PMA2,PF00435,Spectrin repeat,7798,7901
A0A1I8PMF3,PF00435,Spectrin repeat,713,806
A0A1I8PMI1,PF00435,Spectrin repeat,7684,7789
A0A1I8PMJ8,PF00355,Rieske [2Fe-2S] iron-sulphur domain,9,94
A0A1I8PTB3,mobidb-lite,disorder_prediction,683,775
A0A1I8PTQ4,PF02469,FAS1 domain,509,659
A0A1I8Q006,mobidb-lite,disorder_prediction,2115,2135
A0A1I8Q1U1,mobidb-lite,disorder_prediction,702,734
A0A1I8Q2S0,mobidb-lite,disorder_prediction,15,59
A0A1I8Q6K5,PF07679,Immunoglobulin I-set,409,481
A0A1I8Q9E0,CoiledCoil,Uncharacterized protein OS=Stomoxys calcitrans GN=106088687 PE=4 SV=1,204,225
A0A1I8QE17,PF02221,MD-2-related lipid-recognition domain,17,147
A0A1I9FZL0,PF10206,Mitochondrial F1-F0 ATP synthase subunit F predicted,61,141
A0A1I9G279,PF00002,GPCR family 2 secretin-like,145,408
A0A1I9J722,PF00115,Cytochrome c oxidase subunit I,1,230
A0A1I9LNJ4,PF00642,Zinc finger CCCH-type,323,343
A0A1I9P1D4,PF00016,Ribulose bisphosphate carboxylase large subunit C-terminal,130,402
A0A1I9SG36,PF00033,Cytochrome b/b6 N-terminal,1,66
A0A1I9WJY7,PF09737,De-etiolated protein 1 Det1,74,178
A0A1I9WSV4,PF04566,RNA polymerase Rpb2 domain 4,150,211
A0A1I9XBT3,PF00115,Cytochrome c oxidase subunit I,2,219
A0A1J0DLD8,PF00115,Cytochrome c oxidase subunit I,10,182
A0A1J0KFX1,PF00411,Ribosomal protein S11,20,129
A0A1J0MNZ2,PF00237,Ribosomal protein L22/L17,43,142
A0A1J0MQN8,PF02532,Photosystem II PsbI,1,35
A0A1J0RAW6,mobidb-lite,disorder_prediction,425,452
A0A1J1GTG3,LowComplexity,CCAAT-binding transcription factor putative OS=Plasmodium gallinaceum GN=PGAL8A_00198700 PE=4 SV=1,221,233
A0A1J1H5Y6,mobidb-lite,disorder_prediction,140,171
A0A1J1HBU6,CoiledCoil,Eukaryotic translation initiation factor 2b subunit 2 putative OS=Plasmodium relictum GN=PRELSG_1465900 PE=3 SV=1,104,125
A0A1J1HR67,mobidb-lite,disorder_prediction,962,986
A0A1J1I8X1,PF07993,Male sterility NAD-binding,1001,1061
A0A1J1IF11,CoiledCoil,CLUMA_CG011992 isoform A OS=Clunio marinus GN=putative Nesprin-1 PE=4 SV=1,2061,2089
A0A1J1IFP4,PF00651,BTB/POZ domain,22,127
A0A1J1IFZ5,PF00443,Peptidase C19 ubiquitin carboxyl-terminal hydrolase,181,531
A0A1J1IYD0,PF01290,Beta-thymosin,8,51
A0A1J1J386,mobidb-lite,disorder_prediction,327,356
A0A1J1J942,PF00626,Gelsolin-like domain,636,706
A0A1J1JA26,mobidb-lite,disorder_prediction,448,488
A0A1J3C6R6,PF13041,Pentatricopeptide repeat,344,385
A0A1J3CJ97,PF13041,Pentatricopeptide repeat,185,229
A0A1J3CQK6,PF00515,Tetratricopeptide repeat 1,489,520
A0A1J3CT45,PF02373,JmjC domain,3,56
A0A1J3CU62,mobidb-lite,disorder_prediction,350,437
A0A1J3CUV0,PF07744,Spen paralogue and orthologue SPOC C-terminal,6,94
A0A1J3CVA6,PF02183,Leucine zipper homeobox-associated,179,213
A0A1J3D001,mobidb-lite,disorder_prediction,42,76
A0A1J3D0C3,PF01699,Sodium/calcium exchanger membrane region,289,428
A0A1J3D9V9,mobidb-lite,disorder_prediction,336,405
A0A1J3DJ68,PF02637,Asn/Gln amidotransferase,399,546
A0A1J3DN52,PF03364,Coenzyme Q-binding protein COQ10 START domain,91,125
A0A1J3DZH5,mobidb-lite,disorder_prediction,250,287
A0A1J3E292,PF00875,DNA photolyase N-terminal,30,191
A0A1J3E2K6,PF03016,Exostosin-like,1,118
A0A1J3EA34,PF02991,Autophagy protein Atg8 ubiquitin-like,41,144
A0A1J3EFS9,PF08613,Cyclin PHO80-like,66,173
A0A1J3EHH1,PF01467,Cytidyltransferase-like domain,218,381
A0A1J3EN93,PF01239,Protein prenyltransferase alpha subunit,64,90
A0A1J3EP49,mobidb-lite,disorder_prediction,268,289
A0A1J3EPN5,mobidb-lite,disorder_prediction,1,41
A0A1J3EU51,PF03107,DC1,54,112
A0A1J3EYJ4,PF01535,Pentatricopeptide repeat,48,71
A0A1J3F4M4,mobidb-lite,disorder_prediction,1,58
A0A1J3G712,mobidb-lite,disorder_prediction,1,31
A0A1J3GEF7,PF14244,Gag-polypeptide of LTR copia-type,27,61
A0A1J3GGR4,PF00564,PB1 domain,189,273
A0A1J3GKH8,PF03254,Xyloglucan fucosyltransferase,1,187
A0A1J3GXL0,mobidb-lite,disorder_prediction,78,176
A0A1J3GXV1,PF00249,SANT/Myb domain,157,208
A0A1J3GYT3,PF00850,Histone deacetylase domain,24,318
A0A1J3HBL9,PF05773,RWD domain,34,146
A0A1J3HCT0,PF00400,WD40 repeat,359,396
A0A1J3HD53,PF01535,Pentatricopeptide repeat,3,22
A0A1J3HD99,PF16363,NAD(P)-binding domain,10,226
A0A1J3HK26,mobidb-lite,disorder_prediction,104,134
A0A1J3HSD7,mobidb-lite,disorder_prediction,172,192
A0A1J3HX19,PF01535,Pentatricopeptide repeat,367,392
A0A1J3I360,PF00400,WD40 repeat,704,728
A0A1J3IHU8,PF01852,START domain,8,110
A0A1J3IKB9,PF00847,AP2/ERF domain,55,114
A0A1J3IMR0,PF03489,Saposin B type region 2,79,111
A0A1J3IMT6,PF00201,UDP-glucuronosyl/UDP-glucosyltransferase,45,116
A0A1J3IPJ1,PF00271,Helicase C-terminal,2,67
A0A1J3IYG7,PF01042,YjgF/YER057c/UK114 family,440,566
A0A1J3J590,PF00514,Armadillo,172,212
A0A1J3J9I7,PF13676,Toll/interleukin-1 receptor homology (TIR) domain,32,82
A0A1J3J9M1,PF01929,Ribosomal protein L14e domain,1,66
A0A1J3JBF2,mobidb-lite,disorder_prediction,1,28
A0A1J3JHR7,CoiledCoil,Uncharacterized protein OS=Noccaea caerulescens GN=MP_TR7855_c4_g1_i1_g.22351 PE=4 SV=1,362,383
A0A1J3K8E1,mobidb-lite,disorder_prediction,385,425
A0A1J4J9S0,mobidb-lite,disorder_prediction,389,416
A0A1J4JBQ4,PF15787,Domain of unknown function DUF4704,1009,1230
A0A1J4JM80,PF02366,Glycosyl transferase family 39/83,39,279
A0A1J4JQ96,PF00069,Protein kinase domain,106,390
A0A1J4JQK6,PF08238,Sel1-like repeat,10,36
A0A1J4JSX6,PF00071,Small GTPase superfamily,20,178
A0A1J4JZX4,mobidb-lite,disorder_prediction,78,97
A0A1J4K753,PF00069,Protein kinase domain,15,267
A0A1J4KB39,mobidb-lite,disorder_prediction,1300,1331
A0A1J4KDX3,PF00069,Protein kinase domain,42,271
A0A1J4KIS0,PF05994,Cytoplasmic FMR1-interacting,419,1212
A0A1J4KRE8,PF00149,Calcineurin-like phosphoesterase domain ApaH type,66,191
A0A1J4KXW7,LowComplexity,Uncharacterized protein OS=Tritrichomonas foetus GN=TRFO_15078 PE=4 SV=1,389,408
A0A1J4MEB8,PF01490,Amino acid transporter transmembrane domain,6,491
A0A1J4MQT6,PF03381,CDC50/LEM3 family,285,451
A0A1J4MUG6,mobidb-lite,disorder_prediction,236,255
A0A1J5WW91,PF00125,Histone H2A/H2B/H3,5,142
A0A1J6IB33,PF00501,AMP-dependent synthetase/ligase,131,599
A0A1J6ICA9,PF04755,Plastid lipid-associated protein/fibrillin conserved domain,75,200
A0A1J6III7,PF07887,CALMODULIN-BINDING PROTEIN60,91,147
A0A1J6J927,mobidb-lite,disorder_prediction,1935,1980
A0A1J6JUS3,PF01535,Pentatricopeptide repeat,366,393
A0A1J6JWP9,mobidb-lite,disorder_prediction,377,399
A0A1J6K7R5,mobidb-lite,disorder_prediction,82,152
A0A1J6KLR8,PF00170,Basic-leucine zipper domain,83,141
A0A1J7FR50,PF00241,Actin-depolymerising factor homology domain,14,136
A0A1J7G394,PF00067,Cytochrome P450,3,424
A0A1J7G9Y5,LowComplexity,Uncharacterized protein OS=Lupinus angustifolius GN=TanjilG_30407 PE=4 SV=1,1114,1146
A0A1J7GFB0,mobidb-lite,disorder_prediction,305,325
A0A1J7GHJ4,PF04939,Ribosomal biogenesis regulatory protein,14,177
A0A1J7GSN5,mobidb-lite,disorder_prediction,612,632
A0A1J7GYX0,mobidb-lite,disorder_prediction,22,41
A0A1J7H9N6,PF01150,Nucleoside phosphatase GDA1/CD39,18,451
A0A1J7HJ99,mobidb-lite,disorder_prediction,466,489
A0A1J7HJF3,mobidb-lite,disorder_prediction,372,397
A0A1J7HMT4,PF00005,ABC transporter-like,456,604
A0A1J7HNV3,mobidb-lite,disorder_prediction,381,407
A0A1J7HUG1,PF12854,Pentatricopeptide repeat,156,188
A0A1J7HUH0,PF01535,Pentatricopeptide repeat,122,150
A0A1J7HVB5,mobidb-lite,disorder_prediction,130,208
A0A1J7HZR9,PF08969,USP8 dimerisation domain,67,135
A0A1J7I4M6,PF00305,Lipoxygenase C-terminal,179,836
A0A1J7I5D6,mobidb-lite,disorder_prediction,154,180
A0A1J7IC96,PF00010,Myc-type basic helix-loop-helix (bHLH) domain,33,79
A0A1J7IDW4,mobidb-lite,disorder_prediction,77,102
A0A1J7IZ53,PF13855,Leucine-rich repeat,101,159
A0A1J8PQY8,PF00252,Ribosomal protein L10e/L16,12,166
A0A1J8PWW2,PF00005,ABC transporter-like,1244,1392
A0A1J8PZ55,PF00472,Peptide chain release factor class I/class II,174,236
A0A1J8Q9E7,mobidb-lite,disorder_prediction,1,29
A0A1J8QS86,PF00400,WD40 repeat,566,598
A0A1J8QSX2,PF10374,Telomerase activating protein Est1,60,218
A0A1J8RI97,PF13847,Methyltransferase domain,48,187
A0A1J9QDI7,PF04193,PQ-loop repeat,240,296
A0A1J9QKP7,PF01399,Proteasome component (PCI) domain,314,416
A0A1J9QPK0,mobidb-lite,disorder_prediction,914,933
A0A1J9QW83,PF11917,Protein of unknown function DUF3435,160,298
A0A1J9R404,PF00806,Pumilio RNA-binding repeat,559,585
A0A1J9RCU4,PF13664,Domain of unknown function DUF4149,12,124
A0A1J9RDA5,PF05254,Mitochondrial distribution/morphology family 35/apoptosis,2,66
A0A1J9RKT2,PF08031,Berberine/berberine-like,488,525
A0A1J9S293,mobidb-lite,disorder_prediction,163,186
A0A1J9S4Q5,PF01182,Glucosamine/galactosamine-6-phosphate isomerase,22,243
A0A1J9S653,mobidb-lite,disorder_prediction,319,390
A0A1J9SDX3,PF00172,Zn(2)-C6 fungal-type DNA-binding domain,161,195
A0A1J9SDZ4,mobidb-lite,disorder_prediction,1,42
A0A1J9SEW3,PF08240,Alcohol dehydrogenase N-terminal,25,151
A0A1J9SMI3,PF00018,SH3 domain,308,354
A0A1K0G6K7,mobidb-lite,disorder_prediction,265,287
A0A1K0G6T9,PF13460,NAD(P)-binding domain,12,219
A0A1K0GCT7,mobidb-lite,disorder_prediction,406,436
A0A1K0GDV8,PF10337,Putative ER transporter 6TM N-terminal,62,550
A0A1K0GML9,mobidb-lite,disorder_prediction,1,30
